Time,pro,kon
1881,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614692818.7954783,0.0,0.0
1614692819.0021641,0.0,0.0
1614692819.2083704,0.0,0.0
1614692819.4145522,0.0,0.0
1614692819.6204216,0.0,0.0
1614692819.8264148,0.0,0.0
1614692820.032159,0.0,0.0
1614692820.2357242,0.0,0.0
1614692820.4395008,0.0,0.0
1614692820.643425,0.0,0.0
1614692820.8471868,0.0,0.0
1614692821.0522852,0.0,0.0
1614692821.2577477,0.0,0.0
1614692821.4631698,0.0,0.0
1614692821.6685133,0.0,0.0
1614692821.8741808,0.0,0.0
1614692822.080114,0.0,0.0
1614692822.2863429,0.0,0.0
1614692822.492373,0.0,0.0
1614692822.6983,0.0,0.0
1614692822.905069,0.0,0.0
1614692823.1117513,0.0,0.0
1614692823.3185213,0.0,0.0
1614692823.5254838,0.0,0.0
1614692823.7317276,0.0,0.0
1614692823.9376483,0.0,0.0
1614692824.141505,0.0,0.0
1614692824.345396,0.0,0.0
1614692824.5490444,0.0,0.0
1614692824.7527323,0.0,0.0
1614692824.9582536,0.0,0.0
1614692825.1640277,0.0,0.0
1614692825.3694608,0.0,0.0
1614692825.5748858,0.0,0.0
1614692825.7802181,0.0,0.0
1614692825.98573,0.0,0.0
1614692826.1915936,0.0,0.0
1614692826.3975375,0.0,0.0
1614692826.603518,0.0,0.0
1614692826.8093927,0.0,0.0
1614692827.0135322,0.0,0.0
1614692827.2197154,0.0,0.0
1614692827.4236999,0.0,0.0
1614692827.6279602,0.0,0.0
1614692827.8349206,0.0,0.0
1614692828.0433571,0.0,0.0
1614692828.2474363,0.0,0.0
1614692828.4514198,0.0,0.0
1614692828.6586256,0.0,0.0
1614692828.8649728,0.0,0.0
1614692829.0704598,0.0,0.0
1614692829.27625,0.0,0.0
1614692829.482411,0.0,0.0
1614692829.6877778,0.0,0.0
1614692829.8931856,0.0,0.0
1614692830.098543,0.0,0.0
1614692830.3048346,0.0,0.0
1614692830.5103357,0.0,0.0
1614692830.7164614,0.0,0.0
1614692830.9223914,0.0,0.0
1614692831.1284416,0.0,0.0
1614692831.3345547,0.0,0.0
1614692831.53999,0.0,0.0
1614692831.746252,0.0,0.0
1614692831.9530618,0.0,0.0
1614692832.165373,0.0,0.0
1614692832.3690486,0.0,0.0
1614692832.5728207,0.0,0.0
1614692832.77655,0.0,0.0
1614692832.9820974,0.0,0.0
1614692833.1875372,0.0,0.0
1614692833.3930087,0.0,0.0
1614692833.5983076,0.0,0.0
1614692833.8036911,0.0,0.0
1614692834.0093415,0.0,0.0
1614692834.2134025,0.0,0.0
1614692834.4174023,0.0,0.0
1614692834.6211512,0.0,0.0
1614692834.8251238,0.0,0.0
1614692835.0305564,0.0,0.0
1614692835.2359517,0.0,0.0
1614692835.4422863,0.0,0.0
1614692835.6483738,0.0,0.0
1614692835.8545172,0.0,0.0
1614692836.0613754,0.0,0.0
1614692836.2672753,0.0,0.0
1614692836.4747467,0.0,0.0
1614692836.6816704,0.0,0.0
1614692836.8881128,0.0,0.0
1614692837.094256,0.0,0.0
